,Title,Corrected_Title
549,2022 SHHA Annual Meeting Announcement & Agenda,2022 SHHA Annual Meeting Announcement & Agenda
550,2022 SHHA Annual Meeting Procedures of Conduct,2022 SHHA Annual Meeting Procedures of Conduct
551,History of New Year's Celebrations,History of New Year's Celebrations
552,Little Neighborhood Libraries,Little Neighborhood Libraries
553,Monthly Fun Fact: New Mexico weird laws,Monthly Fun Fact: New Mexico Weird Laws
554,Update on Invasive Siberian Elms,Update on Invasive Siberian Elms
555,SH Tips & Hacks: composting,SH Tips & Hacks: Composting
556,Dangerous Intersection,Dangerous Intersection
557,Letter to the Editor: safe walking on roads,Letter to the Editor: Safe Walking on Roads
558,SHHA Street-side Cleanup,SHHA Street-Side Cleanup
559,2022 SHHA Annual Meeting,2022 SHHA Annual Meeting
560,2022 SHHA Annual Meeting Procedures of Conduct,2022 SHHA Annual Meeting Procedures of Conduct
561,2022 Directory Photo Submissions - Some Runners-Up,2022 Directory Photo Submissions - Some Runners-Up
562,Appeal for Community Involvement,Appeal for Community Involvement
563,Little Neighborhood Libraries UPDATE,Little Neighborhood Libraries Update
564,Monthly Fun Fact: some more New Mexico weird laws,Monthly Fun Fact: Some More New Mexico Weird Laws
565,Summary of CSC Articles Published in 2021,Summary of CSC Articles Published in 2021
566,Have ou Seen the New Wildfire Signs?,Have You Seen the New Wildfire Signs?
567,Our Backyard Antenna Farm (historical article from Nov. 2018 GRIT),Our Backyard Antenna Farm (Historical Article from Nov. 2018 GRIT)
568,Some Factoids About Valentine's Day,Some Factoids About Valentine's Day
569,Letter to the Editor: safe driving,Letter to the Editor: Safe Driving
570,Bears in the Sandia Mountains,Bears in the Sandia Mountains
571,2022 Annual Meetine Report Agenda,2022 Annual Meeting Report Agenda
572,2022 Annual Meeting Reports of Officers,2022 Annual Meeting Reports of Officers
573,2022 Annual Meeting Reports of Standing Committees,2022 Annual Meeting Reports of Standing Committees
574,"File a Bernalillo County Complaint Online, by Phone, or In-Person","File a Bernalillo County Complaint Online, by Phone, or In-Person"
575,Pets & COVID,Pets & COVID
576,Monthly Fun Fact: Sopapillas,Monthly Fun Fact: Sopapillas
577,Springtime Landscape Thoughts,Springtime Landscape Thoughts
578,Sandia Heights Lighting,Sandia Heights Lighting
579,SH Tips & Hacks: calcium deposits,SH Tips & Hacks: Calcium Deposits
580,Proper Septic System Care Makes Environmental and Economic Sense,Proper Septic System Care Makes Environmental and Economic Sense
581,Gestures of Support for Ukraine,Gestures of Support for Ukraine
582,Ranger Finds Poop Bag Every 466 Feet,Ranger Finds Poop Bag Every 466 Feet
583,"Elena Gallegos Area ""Improvements""? Speak now or…","Elena Gallegos Area ""Improvements""? Speak Now or…"
584,Elena Gallegos Feasibility Study,Elena Gallegos Feasibility Study
585,"Fire Prevention ""Lessons Learned"" for Sandia Heights","Fire Prevention ""Lessons Learned"" for Sandia Heights"
586,Nixle Emergency Information System,Nixle Emergency Information System
587,Wildfire Season is Here!,Wildfire Season Is Here!
588,Summer is Coming - and so are RVs,Summer Is Coming - and So Are RVs
589,Advanced Treatment Septic Systems & Other Issues Related to Replacing…,Advanced Treatment Septic Systems & Other Issues Related to Replacing…
590,Architectural Observations #1: A Love Letter to Sandia Heights,Architectural Observations #1: A Love Letter to Sandia Heights
591,Montly Fun Fact: New Mexico Ph.D.'s per capita,Monthly Fun Fact: New Mexico Ph.D.'s Per Capita
592,"Thank-you, Members! Join us, Non-Members!","Thank You, Members! Join Us, Non-Members!"
593,Elena Gallegos Open Space Site Improvements,Elena Gallegos Open Space Site Improvements
594,Further your Naturalist Educaton with These Other Resources,Further Your Naturalist Education with These Other Resources
595,What's that Plant?,What's That Plant?
596,"SH Tips & Hacks: Home Recipes for Weed Killer, Insecticides, Repellants","SH Tips & Hacks: Home Recipes for Weed Killer, Insecticides, Repellents"
597,CSC is Working to Prevent Long-Term RV Parking,CSC Is Working to Prevent Long-Term RV Parking
598,"Thank you, Members! Join us, Non-Members!","Thank You, Members! Join Us, Non-Members!"
599,BernCo Open Space Division Community Events - Coming Soon,BernCo Open Space Division Community Events - Coming Soon
600,"Dogs, Dogs, Dogs…","Dogs, Dogs, Dogs…"
601,Letter to Mayor Keller on Elena Gallegos Expansion,Letter to Mayor Keller on Elena Gallegos Expansion
602,Unprecidented Fire Season - Please Be Careful!,Unprecedented Fire Season - Please Be Careful!
603,Monthly Fun Fact: New Mexico Wine,Monthly Fun Fact: New Mexico Wine
604,SH Tips & Hacks: Keeping Your House Cool in Summer,SH Tips & Hacks: Keeping Your House Cool in Summer
605,Snakes and You,Snakes and You
606,Sandia Heights Artists Studio Tour Schedules New Preview Night,Sandia Heights Artists Studio Tour Schedules New Preview Night
607,Intro to North Domingo Baca Multigenerational Center,Intro to North Domingo Baca Multigenerational Center
608,Monthly Fun Fact: New Mexico Chiles,Monthly Fun Fact: New Mexico Chiles
609,Water Quality Report,Water Quality Report
610,Elena Gallegos Open Sapce Site Improvements Survey,Elena Gallegos Open Space Site Improvements Survey
611,Fire Hydrant Blue Marker Stakes,Fire Hydrant Blue Marker Stakes
612,"Tumbleweed Control - Let's Go, People!","Tumbleweed Control - Let's Go, People!"
613,Architectural Observations 2: Blinded By the Light,Architectural Observations 2: Blinded by the Light
614,Change in Notary Service,Change in Notary Service
615,Procedures for Attendance of Guests at SHHA Board and Committee Mtgs.,Procedures for Attendance of Guests at SHHA Board and Committee Meetings
616,Sandia Heights Artists Studio Tour  ,Sandia Heights Artists Studio Tour
617,Finding Like-Minded Folks,Finding Like-Minded Folks
618,Trouble with Tumbleweeds,Trouble with Tumbleweeds
619,Xeriscape for a Desert-Friendly Yard,Xeriscape for a Desert-Friendly Yard
620,Letter to the Editor: Read Your Covenants,Letter to the Editor: Read Your Covenants
621,SHHA's Board of Directors Needs…YOU!,SHHA's Board of Directors Needs…YOU!
622,Keep Sandia Heights Looking Good,Keep Sandia Heights Looking Good
623,Sandia Heights Community Event - Tramway Trash Cleanup,Sandia Heights Community Event - Tramway Trash Cleanup
624,Humingbirds,Hummingbirds
625,Please Do Not Feed Wildlife,Please Do Not Feed Wildlife
626,Architectural Observations 3: On Color,Architectural Observations 3: On Color
627,Roadrunner…Curling?,Roadrunner…Curling?
628,Monthly Fun Fact: Sandia Peak Tram,Monthly Fun Fact: Sandia Peak Tram
629,"Thank You, Neighbor","Thank You, Neighbor"
630,Household Radon Awareness,Household Radon Awareness
631,"Short-Term Rentals, eg. Airbnb","Short-Term Rentals, e.g., Airbnb"
632,Shadow Knows,Shadow Knows
633,SHHA's Board of Directors Still Needs You!,SHHA's Board of Directors Still Needs You!
634,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
635,Elena Gallegos Education Center Feasibility Update,Elena Gallegos Education Center Feasibility Update
636,Pinon Pine,Piñon Pine
637,Monthly Fun Fact: KiMo Theater,Monthly Fun Fact: KiMo Theater
638,Don’t Let Your Water Pipes Freeze!,Don’t Let Your Water Pipes Freeze!
639,Is Your Electricity Out?,Is Your Electricity Out?
640,Letter to the Membership from SHHA President,Letter to the Membership from SHHA President
641,Bernalillo County Mowing of Our Steets,Bernalillo County Mowing of Our Streets
642,Elena Gallegos Development Update,Elena Gallegos Development Update
643,View from Jackrabbit Hill,View from Jackrabbit Hill
644,Monthly Fun Fact: Albuquerque name ,Monthly Fun Fact: Albuquerque Name
645,Biographies of Director Candidates,Biographies of Director Candidates
646,Join the Welcom Wagon!,Join the Welcome Wagon!
647,Message to the SHHA Membership,Message to the SHHA Membership
648,Owl & Other Raptor Awareness,Owl & Other Raptor Awareness
649,2023 SHHA Annual Meeting Announcement & Agenda,2023 SHHA Annual Meeting Announcement & Agenda
650,2023 SHHA Annual Meeting Procedures of Conduct,2023 SHHA Annual Meeting Procedures of Conduct
651,Elena Gallegos Development Update,Elena Gallegos Development Update
652,Trail News at Elena Gallegos,Trail News at Elena Gallegos
653,Albuquerque Open Space Foothills Trail Map,Albuquerque Open Space Foothills Trail Map
654,What's the Attraction?,What's the Attraction?
655,SH Tips & Hacks: Monthl winter and spring checks,SH Tips & Hacks: Monthly Winter and Spring Checks
656,No Airbnb!,No Airbnb!
657,What Do My HOA Fees Support?,What Do My HOA Fees Support?
658,Local Sparrows,Local Sparrows
659,List of CSC Articles Published in the GRIT 2022,List of CSC Articles Published in the GRIT 2022
660,"You, the SHHA, and Covenant Enforcement","You, the SHHA, and Covenant Enforcement"
661,SHHA Wildfire Risk Reduction Workshop,SHHA Wildfire Risk Reduction Workshop
662,View from Jack Rabbit Hill,View from Jack Rabbit Hill
663,Orange Crush,Orange Crush
664,Monthly Fun Fact: Petroglyph National Monument,Monthly Fun Fact: Petroglyph National Monument
665,SH Tips & Hacks: monthly checks,SH Tips & Hacks: Monthly Checks
666,Don’t Forget: 2023 SHHA Annual Meeting is Soon,Don’t Forget: 2023 SHHA Annual Meeting is Soon
667,2023 Annual Meeting Report,2023 Annual Meeting Report
668,2023 Annual Meeting Reports of Officers,2023 Annual Meeting Reports of Officers
669,2023 Annual Meeting Reports of Standing Committees,2023 Annual Meeting Reports of Standing Committees
670,Wildfire Risk Reduction Workshop on March 25,Wildfire Risk Reduction Workshop on March 25
671,Monthly Fun Fact: Albuquerque parks,Monthly Fun Fact: Albuquerque Parks
672,Reminders from Your Covenant Support Committee,Reminders from Your Covenant Support Committee
673,Save Elena Gallegos Open Space Current Status,Save Elena Gallegos Open Space Current Status
674,Already a Brush Fire Near the Foothills?,Already a Brush Fire Near the Foothills?
675,Sandwiched Between,Sandwiched Between
676,Mailbox Theft - What Can We Do?,Mailbox Theft - What Can We Do?
677,Raptor Nexting Project Update,Raptor Nesting Project Update
678,Do YOU Love Sandia Heights?,Do YOU Love Sandia Heights?
679,Welcome to each New Neighbor - Every Month,Welcome to Each New Neighbor - Every Month
680,Woof! Woof! Is that YOUR Dog Barking?,Woof! Woof! Is That YOUR Dog Barking?
681,Wildfire Workshop - Some of my Take Aways,Wildfire Workshop - Some of My Takeaways
682,One Man's Weed,One Man's Weed
683,Don’t Take It for Granite!,Don’t Take It for Granite!
684,SH Tips & Hacks: Summer chores,SH Tips & Hacks: Summer Chores
685,Pay it Forward,Pay It Forward
686,Please Do Not Feed Wildlife,Please Do Not Feed Wildlife
687,Artist Next Door,Artist Next Door
688,Latest on Elena Gallegos Devlopment,Latest on Elena Gallegos Development
689,Whiteout!,Whiteout!
690,Memories of an Old-Timer,Memories of an Old-Timer
691,Weed and Fire Season is Here,Weed and Fire Season is Here
692,Crisis: Not Yet - but getting too close!,Crisis: Not Yet - But Getting Too Close!
693,Artist Next Door,Artist Next Door
694,Little Libraries,Little Libraries
695,It's Hot Out - for You and Your Dog,It's Hot Out - For You and Your Dog
696,Wildfire-Resistant Roofing Can Save Your Home,Wildfire-Resistant Roofing Can Save Your Home
697,Mafic-nicent!,Mafic-nificent!
698,Airbnb Room Rental Satisfactorily Resolved in District Court,Airbnb Room Rental Satisfactorily Resolved in District Court
699,New Look to the SHHA Website,New Look to the SHHA Website
700,Mice & Rats!,Mice & Rats!
701,Artist Next Door,Artist Next Door
702,Dog Law,Dog Law
703,Elena Gallegos Open Space Saved from Development - An Amazing Victory,Elena Gallegos Open Space Saved from Development - An Amazing Victory
704,Forest Service is Taking Comments on Relacing a Power Line,Forest Service is Taking Comments on Replacing a Power Line
705,Welcome to Mazatza-landia!,Welcome to Mazatza-landia!
706,Trash Can Transgressors,Trash Can Transgressors
707,Artist Next Door,Artist Next Door
708,BernCo Code for Prohibited Uses in a Single-Family Residential Zone,BernCo Code for Prohibited Uses in a Single-Family Residential Zone
709,Sea Sea Sea Trails,Sea Sea Sea Trails
710,"In a ""Bind"" Choosing a Contractor? ","In a ""Bind"": Choosing a Contractor?"
711,Living with Bears,Living with Bears
712,Tips for Living with Bears,Tips for Living with Bears
713,Beware: Don’t Use Rodent Poison!,Beware: Don’t Use Rodent Poison!
714,Artist Next Door,Artist Next Door
715,Fun Fact: New Mexico Symbols,Fun Fact: New Mexico Symbols
716,What is a Tutor Doctor,What is a Tutor Doctor?
717,Your Monthly Recommendaton,Your Monthly Recommendation
718,Dogs on the Loose!,Dogs on the Loose!
719,Fall Colors?,Fall Colors?
720,Please Obey Stop Signs,Please Obey Stop Signs
721,Some Changes in Volunteer & Paid Staff,Some Changes in Volunteer & Paid Staff
722,"Letter to the Editor: Bears, rodents","Letter to the Editor: Bears, Rodents"
723,Artist Next Door,Artist Next Door
724,Neighborhood Afternoon Out Ice Cream Social a Great Success!,Neighborhood Afternoon Out Ice Cream Social a Great Success!
725,Great Scott!,Great Scott!
726,We Need Your Voice,We Need Your Voice
727,Sandia Peak Utility to Begin Water Meter Replacement Project,Sandia Peak Utility to Begin Water Meter Replacement Project
728,Help Our Neighborhood Stay Beautiful,Help Our Neighborhood Stay Beautiful
729,Artist Next Door,Artist Next Door
730,Complaint procedure guidelines,Complaint Procedure Guidelines
731,Drones,Drones
732,An Explanation of the SHHA Environment & Safety Committee,An Explanation of the SHHA Environment & Safety Committee
733,"Prevent Fires, Remove Dead Trees","Prevent Fires, Remove Dead Trees"
734,Store Your RVs,Store Your RVs
735,On the Subject of HOA's,On the Subject of HOA's
736,2024 SHHA Annual Meeting,2024 SHHA Annual Meeting
737,Artist Next Door,Artist Next Door
738,Sandia Peak Tram (and TEN 3) Closure,Sandia Peak Tram (and TEN 3) Closure
739,Renowned Ground at U-Mound,Renowned Ground at U-Mound
740,More Memories from an Old-Timer,More Memories from an Old-Timer
741,2024 Don't Forget the Annual Meeting,2024 Don't Forget the Annual Meeting
742,2024 SHHA Annual Meeting Agenda,2024 SHHA Annual Meeting Agenda
743,New Q&A Approach at Annual Meeting,New Q&A Approach at Annual Meeting
744,Snow on Granite,Snow on Granite
745,Special Events Help Wanted,Special Events Help Wanted
746,Romancing the Stone,Romancing the Stone
747,Outdoor Lighting: SHHA Covenants and Bernalillo County Ordinance,Outdoor Lighting: SHHA Covenants and Bernalillo County Ordinance
748,How can  I shut off my water supply?,How Can I Shut Off My Water Supply?
749,SHHA Contractor Evaluation Program,SHHA Contractor Evaluation Program
750,Some Changes for 2024,Some Changes for 2024
751,2024 Annual Meeting Reerpots of Committees,2024 Annual Meeting Reports of Committees
752,2024 Annual Meeting Reports of Offices,2024 Annual Meeting Reports of Offices
753,Artist Next Door,Artist Next Door
754,Spring Winds Bring Heightened Wildfire Danger,Spring Winds Bring Heightened Wildfire Danger
755,Household Radon Mitigation,Household Radon Mitigation
756,"Message from the President, April 2024","Message from the President, April 2024"
757,Solar Electric System Do's and Don'ts,Solar Electric System Do's and Don'ts
758,Trash Pickup in May,Trash Pickup in May
759,Hidden Birds,Hidden Birds
760,Scoop on Gravel,Scoop on Gravel
761,Artist Next Door,Artist Next Door
762,Be an Affiliate Member of Sandia Heights Artists,Be an Affiliate Member of Sandia Heights Artists
763,Are You Represented on the SHHA Board of Directors?,Are You Represented on the SHHA Board of Directors?
764,Respectful Reques to Dog Owners/Walkers,Respectful Request to Dog Owners/Walkers
765,Little Cloud Park,Little Cloud Park
766,Tramway Trash Pickup Scheduled this Month,Tramway Trash Pickup Scheduled This Month
767,Jurassic-Triassic Park,Jurassic-Triassic Park
768,Tumbleweed Alert!,Tumbleweed Alert!
769,"Message from the President, May 2024","Message from the President, May 2024"
770,Isn't He Cute?,Isn't He Cute?
771,Artist Next Door,Artist Next Door
772,"Be a Trail User, Not a Private Property Abuser","Be a Trail User, Not a Private Property Abuser"
773,"Shredding Even Saturday, June 29th ","Shredding Event Saturday, June 29th"
774,Trash Collection Help for Those with Disabilites,Trash Collection Help for Those with Disabilities
775,By Hands Unknown,By Hands Unknown
776,Historical Highlight: The Story Behind an Iconic Photograph,Historical Highlight: The Story Behind an Iconic Photograph
777,"It's Beautiful Out There, But Be Safe: Walk on the LEFT Side of the Road","It's Beautiful Out There, But Be Safe: Walk on the Left Side of the Road"
778,"Message from the President, June 2024","Message from the President, June 2024"
779,Get to Know Your SHHA Office Staff,Get to Know Your SHHA Office Staff
780,Movies in Our Backyard,Movies in Our Backyard
781,Photo Contest,Photo Contest
782,Have You Heard of the Sherds? Part 1,Have You Heard of the Sherds? Part 1
783,"Message from the President, July 2024","Message from the President, July 2024"
784,Preview Exhibit Kicks Off Sandia Heights Artists' 21st Tour,Preview Exhibit Kicks Off Sandia Heights Artists' 21st Tour
785,Communication of Publication Committee Needs Help!,Communication of Publication Committee Needs Help!
786,Sandia Heights Youth Spotlight: Aspiring Eagle Scout,Sandia Heights Youth Spotlight: Aspiring Eagle Scout
787,Success In Shreds? - thanks to your dues!,Success in Shreds? - Thanks to Your Dues!
788,Message from Your Dog,Message from Your Dog
789,Have You Heard of the Sherds? Part 2,Have You Heard of the Sherds? Part 2
790,E-Bikes and Micromobility Devices Allowed in Open Space to be Discussed…,E-Bikes and Micromobility Devices Allowed in Open Space to Be Discussed…
791,"Message from the President, August 2024","Message from the President, August 2024"
792,Do We Have Nightlife in Sandia Heights? You Bet!,Do We Have Nightlife in Sandia Heights? You Bet!
793,Sandia Heights Artists Tour: September 7 & 8 Enthusiams and Hard Work,Sandia Heights Artists Tour: September 7 & 8 Enthusiasm and Hard Work
794,The Poet Next Door,The Poet Next Door
795,2025 Directory Cover Photo Contest,2025 Directory Cover Photo Contest
796,2nd Annual Neighborhood Afternoon Out and Ice Cream Social,2nd Annual Neighborhood Afternoon Out and Ice Cream Social
797,"Committees Are Caontinuing Their Call: ""Help!""","Committees Are Continuing Their Call: ""Help!"""
798,How'd That Get There? Part 1,How'd That Get There? Part 1
799,"Message from the President, September 2024","Message from the President, September 2024"
800,Rodent Poison Does Not Discriminate Between the Unloved and Loved,Rodent Poison Does Not Discriminate Between the Unloved and Loved
801,Thanks from the Sandia Heights Artists,Thanks from the Sandia Heights Artists
802,"2025 Directory Cover Photo Contest Deadline, November 8","2025 Directory Cover Photo Contest Deadline, November 8"
803,Hear Ye! Hear Ye! Entire GRIT Archive is Now Online,Hear Ye! Hear Ye! Entire GRIT Archive Is Now Online
804,Spotlight on Casa Angelica Support from Sandia Heights Resident,Spotlight on Casa Angelica Support from Sandia Heights Resident
805,In Memory of Wade Jackson and His Legacy to Elena Gallegos,In Memory of Wade Jackson and His Legacy to Elena Gallegos
806,How'd That Get There? Part 2,How'd That Get There? Part 2
807,Progress Being Made: Speed Enforcement Camera Proposed for Tramway,Progress Being Made: Speed Enforcement Camera Proposed for Tramway
808,"Message from the President, October 2024","Message from the President, October 2024"
809,SHHA Bylaws Under Review,SHHA Bylaws Under Review
810,Let's Protect Our Momma Bear and her three Cubs,Let's Protect Our Momma Bear and Her Three Cubs
